index,bits,hamming_weight,integrity_valid,coset_id,coset_representative,nearest_code_distance,nearest_codeword_count,decoder_status
100,001100100,3,0,1,000000001,1,1,corrected
101,001100101,4,1,0,000000000,0,1,exact
102,001100110,4,1,3,000000011,2,1,uncorrectable
103,001100111,5,0,2,000000010,1,1,corrected
104,001101000,3,0,13,000001101,1,1,corrected
105,001101001,4,1,12,000001100,2,4,uncorrectable
106,001101010,4,1,15,000001111,2,1,uncorrectable
107,001101011,5,0,14,000001110,3,4,uncorrectable
108,001101100,4,1,9,000001001,2,4,uncorrectable
109,001101101,5,0,8,000001000,1,1,corrected
110,001101110,5,0,11,000001011,3,4,uncorrectable
111,001101111,6,1,10,000001010,2,1,uncorrectable
112,001110000,3,0,8,000001000,1,1,corrected
113,001110001,4,1,9,000001001,2,4,uncorrectable
114,001110010,4,1,10,000001010,2,1,uncorrectable
115,001110011,5,0,11,000001011,3,4,uncorrectable
116,001110100,4,1,12,000001100,2,4,uncorrectable
117,001110101,5,0,13,000001101,1,1,corrected
118,001110110,5,0,14,000001110,3,4,uncorrectable
119,001110111,6,1,15,000001111,2,1,uncorrectable
120,001111000,4,1,0,000000000,0,1,exact
121,001111001,5,0,1,000000001,1,1,corrected
122,001111010,5,0,2,000000010,1,1,corrected
123,001111011,6,1,3,000000011,2,1,uncorrectable
124,001111100,5,0,4,000000100,1,1,corrected
125,001111101,6,1,5,000000101,2,4,uncorrectable
126,001111110,6,1,6,000000110,2,1,uncorrectable
127,001111111,7,0,7,000000111,3,4,uncorrectable
128,010000000,1,0,25,000101001,1,1,corrected
129,010000001,2,1,24,000101000,2,4,uncorrectable
130,010000010,2,1,27,000101011,2,1,uncorrectable
131,010000011,3,0,26,000101010,3,4,uncorrectable
132,010000100,2,1,29,000101101,2,4,uncorrectable
133,010000101,3,0,28,000101100,1,1,corrected
134,010000110,3,0,31,000101111,3,4,uncorrectable
135,010000111,4,1,30,000101110,2,1,uncorrectable
