branch_id,parent_id,shell_q,score,local_probability,measure,amplitude_real,amplitude_imag,amplitude_norm_squared
root.q4.q0.q1,root.q4.q0,1,0.5880910698150733,0.20722610722848347,0.004326750483873149,0.06555446268341987,0.005418755037945531,0.004326750483873149
root.q4.q0.q2,root.q4.q0,2,1.0095815704905393,0.13595446342481105,0.0028386434908002803,0.05301452648703125,0.005301270805773118,0.0028386434908002803
root.q4.q0.q3,root.q4.q0,3,0.3741166179844383,0.25666839358650123,0.005359074254678143,0.07275279589323189,0.008130494720242088,0.005359074254678142
root.q4.q0.q4,root.q4.q0,4,0.9814480172999359,0.13983365744799922,0.0029196386165657863,0.05366326868749904,0.00631602805084586,0.0029196386165657863
root.q4.q1.q0,root.q4.q1,0,0.71,0.20782894051865278,0.00808192884307381,0.08973777797793396,0.005390737116280351,0.008081928843073813
root.q4.q1.q1,root.q4.q1,1,0.9380910698150733,0.1654425939302771,0.006433633681725138,0.07993730479625501,0.006607645846726617,0.006433633681725137
root.q4.q1.q2,root.q4.q1,2,0.3095815704905394,0.31017410519967176,0.012061867038016538,0.10928152050234312,0.010927777208220234,0.012061867038016538
root.q4.q1.q3,root.q4.q1,3,0.7241166179844383,0.20491570962170425,0.007968640844040448,0.08871497350504427,0.009914349199001445,0.007968640844040448
root.q4.q1.q4,root.q4.q1,4,1.3314480172999357,0.11163865072969413,0.004341337780400128,0.06543714782854738,0.0077017832003351714,0.004341337780400129
root.q4.q2.q0,root.q4.q2,0,1.06,0.1372061513420035,0.0042755351281099025,0.06526991391979149,0.00392090104604955,0.004275535128109904
root.q4.q2.q1,root.q4.q2,1,0.2380910698150733,0.312121794719303,0.00972615064644376,0.09828603889847268,0.008124358688024335,0.00972615064644376
root.q4.q2.q2,root.q4.q2,2,0.6595815704905393,0.2047731904622643,0.006381018347597405,0.0794848679891069,0.007948214161159414,0.0063810183475974044
root.q4.q2.q3,root.q4.q2,3,1.0741166179844381,0.1352828715603552,0.004215603046441612,0.06452598687583568,0.00721110699831122,0.004215603046441611
