omega_ash,alpha_mu,loglike,chi2,aic,bic
0.025,0.075,116.5777434396013,0.5525782277828284,-217.1554868792026,-199.0540478628721
0.014,0.07,116.55083679628126,0.6063915144228903,-217.10167359256252,-199.000234576232
0.026000000000000002,0.07,116.5491537949921,0.6097575170012619,-217.0983075899842,-198.99686857365367
0.015,0.08,116.54903489618516,0.6099953146150776,-217.09806979237032,-198.9966307760398
0.025,0.06,116.54710443973104,0.6138562275233188,-217.0942088794621,-198.99276986313157
0.014,0.075,116.54625302437455,0.6155590582363516,-217.0925060487491,-198.99106703241858
0.026000000000000002,0.065,116.54453561640767,0.6189938741701028,-217.08907123281534,-198.98763221648483
0.019,0.085,116.52742163982356,0.6532218273383328,-217.05484327964712,-198.9534042633166
0.024,0.08,116.52589463441899,0.6562758381474452,-217.05178926883798,-198.95035025250746
0.016,0.06,116.52575568342132,0.6565537401427766,-217.05151136684265,-198.95007235051213
0.021,0.055,116.52413748031614,0.6597901463531474,-217.04827496063228,-198.94683594430177
0.02,0.085,116.5194447512713,0.6691756044428305,-217.0388895025426,-198.93745048621207
0.018000000000000002,0.085,116.51851857427727,0.6710279584308785,-217.03703714855453,-198.93559813222402
0.02,0.055,116.51625432882736,0.6755564493307289,-217.03250865765472,-198.9310696413242
0.022,0.055,116.51511881776275,0.6778274714599081,-217.0302376355255,-198.928798619195
0.021,0.085,116.49456453890264,0.718936029180162,-216.98912907780527,-198.88769006147476
0.017,0.085,116.49275888893641,0.7225473291126128,-216.98551777787281,-198.8840787615423
0.019,0.055,116.49149274343935,0.7250796201066996,-216.9829854868787,-198.8815464705482
0.023,0.055,116.4891749255165,0.7297152559524329,-216.978349851033,-198.87691083470247
0.014,0.065,116.48078108710308,0.7465029327792387,-216.96156217420616,-198.86012315787565
0.026000000000000002,0.075,116.47900131002783,0.7500624869297796,-216.95800262005565,-198.85656360372514
0.014,0.08,116.46738211449454,0.7733008779963293,-216.93476422898908,-198.83332521265856
0.026000000000000002,0.06,116.46479015029422,0.7784848063970111,-216.92958030058844,-198.82814128425792
0.022,0.085,116.45275759752252,0.8025499119403714,-216.90551519504504,-198.80407617871452
0.016,0.085,116.45016588275402,0.8077333414773785,-216.90033176550804,-198.79889274917753
0.018000000000000002,0.055,116.44987606885073,0.8083129692840005,-216.89975213770146,-198.79831312137094
0.024,0.055,116.44628235235572,0.8155004022739867,-216.89256470471145,-198.79112568838093
0.013000000000000001,0.075,116.44239276590616,0.8232795751731182,-216.88478553181233,-198.7833465154818
0.013000000000000001,0.07,116.44153939664147,0.8249863137024687,-216.88307879328295,-198.78163977695243
0.027,0.065,116.43972880805202,0.8286074908813663,-216.87945761610405,-198.77801859977353
0.015,0.06,116.4391259410101,0.8298132249652297,-216.8782518820202,-198.7768128656897
0.027,0.07,116.43886684823153,0.8303314105223549,-216.87773369646305,-198.77629468013254
0.025,0.08,116.43867120136656,0.8307227042522971,-216.87734240273312,-198.7759033864026
0.023,0.085,116.39400048639561,0.9200641341941813,-216.78800097279122,-198.6865619564607
0.017,0.055,116.39142761437861,0.9252098782281785,-216.78285522875723,-198.6814162124267
0.015,0.085,116.3907628193952,0.9265394681950123,-216.7815256387904,-198.6800866224599
0.025,0.055,116.38641761142406,0.9352298841372982,-216.77283522284813,-198.6713962065176
0.013000000000000001,0.08,116.36896983367868,0.9701254396280893,-216.73793966735735,-198.63650065102684
0.013000000000000001,0.065,116.36605744426083,0.9759502184637763,-216.73211488852166,-198.63067587219115
0.027,0.06,116.36545245193946,0.9771602031065287,-216.73090490387892,-198.6294658875484
0.027,0.075,116.36322325896165,0.9816185890621366,-216.7264465179233,-198.6250075015928
0.014,0.06,116.33573002054615,1.036605065893141,-216.6714600410923,-198.5700210247618
0.026000000000000002,0.08,116.33443124480138,1.039202617382674,-216.66886248960276,-198.56742347327224
0.012,0.075,116.32180028939064,1.0644645282041294,-216.64360057878127,-198.54216156245076
0.024,0.085,116.31826972918287,1.0715256486196747,-216.63653945836575,-198.53510044203523
0.028,0.065,116.31787082264901,1.072323461687404,-216.63574164529803,-198.5343026289675
0.016,0.055,116.3161706540219,1.0757237989416437,-216.6323413080438,-198.5309022917133
0.012,0.07,116.3155139008366,1.0770373053121962,-216.6310278016732,-198.5295887853427
0.014,0.085,116.31457292729962,1.0789192523861768,-216.62914585459924,-198.52770683826873
0.028,0.07,116.31152454934917,1.0850160082870892,-216.62304909869835,-198.52161008236783
0.026000000000000002,0.055,116.30955718016713,1.088950746651177,-216.61911436033427,-198.51767534400375
0.019,0.09,116.27361005536054,1.1608449962643568,-216.54722011072107,-198.44578109439055
0.018000000000000002,0.09,116.27019720727651,1.1676706924323983,-216.54039441455302,-198.4389553982225
0.021,0.05,116.26588106909404,1.1763029687973559,-216.53176213818807,-198.43032312185755
0.022,0.05,116.26228853681894,1.1834880333475661,-216.5245770736379,-198.42313805730737
0.02,0.09,116.26013878705928,1.1877875328668845,-216.52027757411855,-198.41883855778804
