Omega_ash,chi2
0.0176,3823253.8488572473
0.0177,3511338.782752566
0.0178,3212706.1803811993
0.0179,2927354.4409601456
0.018,2655281.9640553272
0.0181,2396487.149575671
0.0182,2150968.3977766354
0.0183,1918724.1092586361
0.0184,1699752.6849665842
0.0185,1494052.5261917673
0.0186,1301622.0345692176
0.0187,1122459.6120791128
0.0188,956563.6610460898
0.0189,803932.5841404076
0.019,664564.7843752136
0.0191,538458.6651092636
0.0192,425612.63004482386
0.0193,326025.0832284002
0.0194,239694.42905092926
0.0195,166619.07224705597
0.0196,106797.41789514887
0.0197,60227.87141721102
0.0198,26908.838579314775
0.0199,6838.72549052839
0.02,15.938603452268728
0.0201,6438.884714029518
0.0202,26105.970961354047
0.0203,59015.60482761261
0.0204,105166.1941378318
0.0205,164556.1470599954
0.0206,237183.87210493954
0.0207,323047.7781256133
0.0208,422146.274318123
0.0209,534477.7702206194
0.021,660040.6757139685
0.0211,798833.4010208456
0.0212,950854.3567060806
0.0213,1116101.9536759336
0.0214,1294574.6031801158
0.0215,1486270.7168087354
0.0216,1691188.706494112
0.0217,1909326.984509441
0.0218,2140683.9634711533
0.0219,2385258.0563338837
0.022,2643047.676397695
0.0221,2914051.237300508
0.0222,3198267.153021738
0.0223,3495693.837881956
0.0224,3806329.7065442475
0.0225,4130173.1740103276
0.0226,4467222.655623678
0.0227,4817476.5670667235
0.0228,5180933.3243641425
0.0229,5557591.343879815
0.023,5947449.042317848
0.0231,6350504.836724116
0.0232,6766757.144481276
0.0233,7196204.3833134575
0.0234,7638844.971286556
0.0235,8094677.326802669
0.0236,8563699.868603596
0.0237,9045911.015775312
0.0238,9541309.187736351
0.0239,10049892.804250393
0.024,10571660.28541591
0.0241,11106610.051672414
0.0242,11654740.52380069
0.0243,12216050.122913683
0.0244,12790537.270469312
0.0245,13378200.388260942
0.0246,13979037.89842172
0.0247,14593048.223424133
0.0248,15220229.786074374
0.0249,15860581.009520963
0.025,16514100.317250744
0.0251,17180786.13308693
0.0252,17860636.88118753
0.0253,18553650.98605886
0.0254,19259826.872528452
0.0255,19979162.96577943
0.0256,20711657.69131608
0.0257,21457309.474990893
0.0258,22216116.74299086
0.0259,22988077.921838187
0.026,23773191.43839284
